algorithm;class;metric;mse;C;n;value_fact;value_theory;is_steps
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;1150;0.0021733;0.002201247551283136;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;1200;0.00233814;0.0023968215303196336;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;1250;0.002490275;0.002600717806336408;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;1300;0.0026816749999999997;0.002812936379333459;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;1350;0.00305026;0.0030334772493107866;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;1400;0.0031521999999999995;0.0032623404162683903;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;1450;0.0033325;0.003499525880206271;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;1500;0.003834;0.003745033641124428;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;1550;0.0041442599999999994;0.003998863699022861;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;1600;0.00457946;0.004261016053901571;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;1650;0.004843;0.004531490705760558;0
